row_id,planet_name,planet_host,discovery_method_group,orbital_period_days,planet_mass_earth,cluster_numeric_id,cluster_label,hz_reported,hz_derived,flux_zone_reported,flux_zone_derived,giant_or_evolved_host_flag,compact_or_hot_subdwarf_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag
45,AU Mic b,AU Mic,Transit,8.463,17.0,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
46,AU Mic c,AU Mic,Transit,18.859019,13.6,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
47,BD+03 2562 b,BD+03 2562,Radial Velocity,481.9,2034.112,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
48,BD+14 4559 b,BD+14 4559,Radial Velocity,268.94,330.5432,2,Long-period giants,,1.0,,habitable_zone,False,False,False,False,False
49,BD+15 2375 b,BD+15 2375,Radial Velocity,153.22,337.21763,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
50,BD+15 2940 b,BD+15 2940,Radial Velocity,137.48,352.78,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
51,BD+20 2457 b,BD+20 2457,Radial Velocity,379.63,17668.1697,2,Long-period giants,,0.0,,too_hot,True,False,False,True,False
52,BD+20 2457 c,BD+20 2457,Radial Velocity,621.99,3963.17,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
53,BD+20 274 b,BD+20 274,Radial Velocity,578.2,1334.886,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
54,BD+20 594 b,BD+20 594,Transit,41.6855,22.2481,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
55,BD+45 564 b,BD+45 564,Radial Velocity,307.88,432.24663,2,Long-period giants,,,,,False,False,False,False,False
56,BD+48 738 b,BD+48 738,Radial Velocity,392.6,289.2253,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
57,BD+48 740 b,BD+48 740,Radial Velocity,733.0,540.311,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
58,BD+49 828 b,BD+49 828,Radial Velocity,2590.0,508.5,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
59,BD+55 362 b,BD+55 362,Radial Velocity,265.59,228.83645,2,Long-period giants,,,,,False,False,False,False,False
60,BD+63 1405 b,BD+63 1405,Radial Velocity,1198.48,1258.60049,2,Long-period giants,,,,,False,False,False,False,False
61,BD-00 4475 b,BD-00 4475,Radial Velocity,723.2,7961.6016,2,Long-period giants,,,,,False,False,False,True,False
62,BD-06 1339 b,BD-06 1339,Radial Velocity,3.8728,8.5,0,Low-mass short-period,,,,,False,False,False,False,False
63,BD-06 1339 c,BD-06 1339,Radial Velocity,125.94,53.0,3,Intermediate-mass moderate-period,,,,,False,False,False,False,False
64,BD-08 2823 b,BD-08 2823,Radial Velocity,5.6,12.7132,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
65,BD-08 2823 c,BD-08 2823,Radial Velocity,237.6,104.0,3,Intermediate-mass moderate-period,,,,,False,False,False,False,False
66,BD-10 3166 b,BD-10 3166,Radial Velocity,3.48777,187.5197,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
67,BD-11 4672 b,BD-11 4672,Radial Velocity,1634.0,206.5895,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
68,BD-11 4672 c,BD-11 4672,Radial Velocity,74.2,15.37,3,Intermediate-mass moderate-period,,0.0,,too_hot,False,False,False,False,False
69,BD-13 2130 b,BD-13 2130,Radial Velocity,714.29999,3108.3774,2,Long-period giants,,0.0,,too_hot,True,False,False,False,False
70,BD-17 63 b,BD-17 63,Radial Velocity,655.6,1620.9,2,Long-period giants,,0.0,,too_cold,False,False,False,False,False
71,CD Cet b,CD Cet,Radial Velocity,2.2907,3.95,0,Low-mass short-period,0.0,0.0,too_hot,too_hot,False,False,False,False,False
